SVS	G_VALUE	P_VALUE(G)	SNPS	DISEASE/TRAIT	MAPPED_TRAIT	OR or BETA	P-VALUE	CHR_ID	CHR_POS	STRONGEST SNP-RISK ALLELE	RISK ALLELE FREQUENCY	REPORTED GENE(S)	MAPPED_GENE	RowNum
SV3825	1	5.28453325702194e-12	rs6660284	Midgestational circulating levels of PCBs (fetal genetic effect)	polychlorinated biphenyls measurement, gestational serum measurement, fetal genotype effect measurement	0.34	7E-7	1	105573092	rs6660284-?		NR	NA - LINC01676	165585
SV6499	0.885213182743072	2.35739567842716e-13	rs10925635	Serum levels of protein TBCE	blood protein measurement	0.184701	2E-21	1	235410171	rs10925635-A	0.3444		TBCE, TBCE, TBCE	299661
SV6972	0.899066712754926	1.46973208515572e-06	rs12063211	Adolescent idiopathic scoliosis	adolescent idiopathic scoliosis		6E-6	1	246056845	rs12063211-?	NR	NR	SMYD3	77871
SV2019	1	2.22653352393527e-16	rs61783804	Smoking status (current vs never)	smoking status measurement	0.94	9E-10	1	28391360	rs61783804-T	NR		PHACTR4	25869
SV3285	1	0.00436492095661936	rs111620896	Glucagon levels in response to oral glucose tolerance test (120 minutes)	glucagon measurement	0.7339	2E-6	1	81478386	rs111620896-A	0.9825	NR	ADGRL2	106259
SV8747	1	1.61264911108626e-15	rs7916840	Diabetic kidney disease in type 2 diabetes	diabetic nephropathy	1.27	6E-7	10	25424152	rs7916840-?		NR	GPR158	9470
SV15873	1	0.00436492095661936	rs7930114	3-hydroxypropylmercapturic acid levels in smokers	3-hydroxypropylmercapturic acid measurement	0.4242	2E-6	11	104170883	rs7930114-?	NR	NR	PDGFD - NA	236199
SV12358	0.855987055016181	5.62020343624611e-13	rs28416859	Lymphocyte counts	lymphocyte count	0.018515	3E-15	11	196606	rs28416859-C	0.375688	NR	BET1L	73671
SV13005	1	2.26817505033245e-12	rs186376420	Hip circumference adjusted for BMI	BMI-adjusted hip circumference	0.0230774	9E-9	11	2749675	rs186376420-T	NR	KCNQ1	KCNQ1, KCNQ1	355056
SV20339	1	0.00436492095661936	rs78440611	Educational attainment (MTAG)	self reported educational attainment	0.0145	6E-11	12	122659642	rs78440611-A	0.9026	Intergenic	KNTC1 - HCAR2	88731
SV20339	1	0.00436492095661936	rs78440611	Educational attainment (years of education)	self reported educational attainment	0.0147	6E-10	12	122659642	rs78440611-A	0.9026		KNTC1 - HCAR2	53777
SV20339	1	0.00436492095661936	rs78440611	Highest math class taken (MTAG)	mathematical ability	0.0163	5E-9	12	122659642	rs78440611-A	0.9039	Intergenic	KNTC1 - HCAR2	91759
SV19465	1	5.21594136484801e-17	rs10745460	Type 2 diabetes	type 2 diabetes mellitus	0.079	4E-8	12	87944684	rs10745460-T	0.66	NR	NA - RPS4XP15	13426
SV25019	1	2.79321764523157e-14	rs111403728	Electrocardiogram morphology (amplitude at temporal datapoints)	electrocardiography	0.0506127	2E-8	13	113509312	rs111403728-A	0.892695	TMCO3	TMCO3	259993
SV25019	1	2.79321764523157e-14	rs111403728	Electrocardiogram morphology (amplitude at temporal datapoints)	electrocardiography	0.0479663	4E-8	13	113509312	rs111403728-A	0.892695	TMCO3	TMCO3	259994
SV25179	1	7.38077440875557e-15	rs9577924	Apolipoprotein B levels	apolipoprotein B measurement	0.0303	2E-29	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	270966
SV25179	1	7.38077440875557e-15	rs9577924	Total cholesterol levels	total cholesterol measurement	0.033	1E-34	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	281887
SV25179	1	7.38077440875557e-15	rs9577924	Triglyceride levels	triglyceride measurement	0.0286	2E-26	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	289331
SV25179	1	7.38077440875557e-15	rs9577924	Low density lipoprotein cholesterol levels	low density lipoprotein cholesterol measurement	0.0311	6E-31	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	292151
SV25179	1	7.38077440875557e-15	rs9577924	Aspartate aminotransferase levels	aspartate aminotransferase measurement	0.0197	2E-13	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	279087
SV25179	1	7.38077440875557e-15	rs9577924	Glycated hemoglobin levels	HbA1c measurement	0.0378	8E-43	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	282806
SV25179	1	7.38077440875557e-15	rs9577924	Insulin-like growth factor 1 levels	IGF-1 measurement	0.0193	8E-13	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	278757
SV25180	0.931927133269415	1.43083121487404e-13	rs9577924	Apolipoprotein B levels	apolipoprotein B measurement	0.0303	2E-29	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	270966
SV25180	0.931927133269415	1.43083121487404e-13	rs9577924	Total cholesterol levels	total cholesterol measurement	0.033	1E-34	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	281887
SV25180	0.931927133269415	1.43083121487404e-13	rs9577924	Triglyceride levels	triglyceride measurement	0.0286	2E-26	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	289331
SV25180	0.931927133269415	1.43083121487404e-13	rs9577924	Low density lipoprotein cholesterol levels	low density lipoprotein cholesterol measurement	0.0311	6E-31	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	292151
SV25180	0.931927133269415	1.43083121487404e-13	rs9577924	Aspartate aminotransferase levels	aspartate aminotransferase measurement	0.0197	2E-13	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	279087
SV25180	0.931927133269415	1.43083121487404e-13	rs9577924	Glycated hemoglobin levels	HbA1c measurement	0.0378	8E-43	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	282806
SV25180	0.931927133269415	1.43083121487404e-13	rs9577924	Insulin-like growth factor 1 levels	IGF-1 measurement	0.0193	8E-13	13	113842344	rs9577924-G	NR	NR	GAS6, GAS6-AS1	278757
SV22243	1	4.05298450144181e-17	rs4941735	Cognitive performance (MTAG)	cognitive function measurement	0.0128	3E-8	13	31067111	rs4941735-T	0.5745	Intergenic	WDR95P	98075
SV22243	1	4.05298450144181e-17	rs4941735	Educational attainment (MTAG)	self reported educational attainment	0.0096	3E-13	13	31067111	rs4941735-T	0.5703	Intergenic	WDR95P	88736
SV22243	1	4.05298450144181e-17	rs4941735	Educational attainment (years of education)	self reported educational attainment	0.0092	9E-11	13	31067111	rs4941735-T	0.5703		WDR95P	53781
SV23030	1	6.09690131226686e-15	rs66674732	Adult body size	body height	0.00816409	7E-9	13	62147027	rs66674732-G	0.61748	PCDH20	NA - LINC01075	48249
SV23030	1	6.09690131226686e-15	rs66761698	Body mass index	body mass index		1E-8	13	62147239	rs66761698-?	NR	NR	NA - LINC01075	38625
SV23171	1	2.79786502427495e-14	rs3013580	Venlafaxine response in generalised anxiety disorder (responders vs non-responders after 24 weeks)	response to venlafaxine	6.23	2E-6	13	67329484	rs3013580-G	0.59	intergenic	LINC00364	194904
SV27996	0.902584917752617	1.22492961806152e-14	rs75153054	Calcium levels	calcium measurement	0.001828	2E-11	14	105502248	rs75153054-C	0.2474	NR	TEDC1 - TMEM121	259150
SV28210	1	0.000157499191902667	rs114529226	HDL cholesterol	high density lipoprotein cholesterol measurement	0.652583	7E-9	14	106368436	rs114529226-A	0.0038	IGHVII-33-1	IGHVII-33-1 - IGHV3-33-2	217771
SV25876	1	2.72352725575522e-13	rs60225398	Major depressive disorder	unipolar depression	1.0752687	2E-6	14	34024218	rs60225398-T	0.761321	NR	EGLN3	69270
SV25932	1	4.77922156938451e-15	rs73241997	Atrial fibrillation	atrial fibrillation	1.07	1E-13	14	34704569	rs73241997-T	0.16	SNX6, CFL2	RPL23AP8 - CFL2	209091
SV25932	1	4.77922156938451e-15	rs73241997	Atrial fibrillation	atrial fibrillation	1.08	3E-15	14	34704569	rs73241997-T	0.142	CFL2	RPL23AP8 - CFL2	85747
SV26675	1	2.58358409373851e-17	rs12885977	Noncognitive aspects of educational attainment	self reported educational attainment	0.041927572	2E-8	14	69028658	rs12885977-T	0.331014	NR	RPS29P1 - DCAF5	276474
SV28927	1	6.07438475813878e-09	rs779	Major depressive disorder	unipolar depression	0.0261	1E-8	15	29564034	rs779-?	NR		FAM189A1	291927
SV29396	1	4.05298450144181e-17	rs6493265	Educational attainment (years of education)	self reported educational attainment	0.0122	2E-17	15	47221056	rs6493265-T	0.3915		SEMA6D	51496
SV30182	0.836615111111111	4.90234906035939e-12	rs11858210	Post bronchodilator FEV1/FVC ratio	response to bronchodilator, FEV/FEC ratio	0.011	9E-7	15	78786016	rs11858210-A	0.372	ADAMTS7	ADAMTS7	161850
SV30182	0.932348348348348	7.16498555369466e-13	rs11072804	Post bronchodilator FEV1/FVC ratio	response to bronchodilator, FEV/FEC ratio	0.011	9E-7	15	78786144	rs11072804-T	0.629	ADAMTS7	ADAMTS7	158335
SV30182	0.932348348348348	7.16498555369466e-13	rs11072805	Post bronchodilator FEV1/FVC ratio	response to bronchodilator, FEV/FEC ratio	0.01	1E-6	15	78786176	rs11072805-T	0.629	ADAMTS7	ADAMTS7	158175
SV31319	0.895104895104895	4.20693352635912e-15	rs2858919	Blood protein levels	blood protein measurement	0.59	2E-89	16	153136	rs2858919-A	0.687	NR	HBZ	93
SV37333	1	2.08892477166187e-13	rs1112174	Hematocrit	hematocrit		1E-10	17	37399875	rs1112174-T	0.354548	NR	ACACA, ACACA	67324
SV37333	1	2.08892477166187e-13	rs1112174	Lymphocyte counts	lymphocyte count		7E-24	17	37399875	rs1112174-T	0.355039	NR	ACACA, ACACA	81984
SV39653	0.839878927526945	1.35155890450934e-11	rs7238896	Body mass index	body mass index	0.0218	2E-15	18	1840657	rs7238896-A	0.8584	NA	LINC00470 - AIDAP3	146101
SV39653	0.839878927526945	1.35155890450934e-11	rs7238896	Body mass index	body mass index		7E-15	18	1840657	rs7238896-?	NR	NR	LINC00470 - AIDAP3	54727
SV39653	0.839878927526945	1.35155890450934e-11	rs7238896	Body mass index	body mass index	0.024	7E-13	18	1840657	rs7238896-G	NR		LINC00470 - AIDAP3	315017
SV39653	0.839878927526945	1.35155890450934e-11	rs7238896	Body mass index	body mass index	0.0218	2E-15	18	1840657	rs7238896-A	0.8584	NA	LINC00470 - AIDAP3	116651
SV41045	1	1.89413268174347e-10	rs28415135	Body mass index	body mass index		4E-18	18	60016423	rs28415135-?	NR	NR	ENTR1P1 - SINHCAFP2	54722
SV43812	1	4.78823173534369e-17	rs59975010	Interleukin-27 levels	protein measurement	0.0843	4E-14	19	12386569	rs59975010-T	0.76		RPS29P23 - ZNF799	262821
SV44004	0.813537260006508	3.63176096218478e-12	rs12611275	Urinary metabolite levels in chronic kidney disease	urinary metabolite measurement	0.244	3E-12	19	15868125	rs12611275-A	0.27	CYP4F2	CLEC4O - CYP4F36P	4728
SV44004	0.813537260006508	3.63176096218478e-12	rs12611275	Urinary metabolite levels in chronic kidney disease	urinary metabolite measurement	0.362	4E-20	19	15868125	rs12611275-A	0.27	CYP4F2	CLEC4O - CYP4F36P	113633
SV44004	0.813537260006508	3.63176096218478e-12	rs12611275	Urinary metabolite levels in chronic kidney disease	urinary metabolite measurement	0.397	2E-18	19	15868125	rs12611275-A	0.27	CYP4F2	CLEC4O - CYP4F36P	4710
SV45093	1	0.000157499191902667	rs190921611	Docosahexaenoic acid levels	docosahexaenoic acid measurement	0.0314655	6E-12	19	44938218	rs190921611-G	0.688917		APOC1P1 - APOC4	318853
